7321;MALDITA TRAICION;ALZATE;CORRIDO
7323;Y TU;ALZATE;CORRIDO
7325;AMOR VERDADERO;ALZATE;CORRIDO
7326;Y AHORA RESULTA;ALZATE;CORRIDO
7330;BORRACHO DE CELOS;ALZATE;CORRIDO
7341;EL DESQUITE;ALZATE;CORRIDO
3535;QUIERO SER;AMAIA MONTERO;BALADA
4157;CUATRO SEGUNDOS;AMAIA MONTERO;POP
4189;TE VOY A DECIR UNA COSA;AMAIA MONTERO;BALADA
4577;NI PUEDO NI QUIERO;AMAIA MONTERO;POP
5858;CAMINANDO;AMAIA MONTERO;POP
6084;PALABRAS;AMAIA MONTERO;BALADA
6619;DARTE MI VIDA;AMAIA MONTERO;BALADA
6758;LOS ABRAZOS ROTOS;AMAIA MONTERO & ALEX UBAGO;BALADA
1544;MI BUEN CORAZON;AMANDA MIGUEL;BALADA
1582;AMAME UNA VEZ MAS;AMANDA MIGUEL;BALADA
2225;EL ME MINTIO;AMANDA MIGUEL;BALADA
2854;ASI NO TE AMARA JAMAS;AMANDA MIGUEL;BALADA
2971;HAGAMOS UN TRATO;AMANDA MIGUEL;BALADA
3715;EL PECADO;AMANDA MIGUEL;BALADA
4259;CASTILLOS EN EL AIRE;AMANDA MIGUEL;BALADA
4537;QUIEN SERA;AMANDA MIGUEL;BALADA
4651;A MI AMIGA;AMANDA MIGUEL;BALADA
1550;SIMPLEMENTE AMOR;AMANDA MIGUEL&DIEGO VERDAGUER;BALADA
1947;ME ENAMORE;AMAR AZUL;CUMBIA
2439;EL UNIVERSO SOBRE MI;AMARAL;POP
2946;SIN TI NO SOY NADA;AMARAL;BALADA
3866;DIAS DE VERANO;AMARAL;BALADA
5896;SALIR CORRIENDO;AMARAL;BALADA
6168;COMO HABLAR;AMARAL;BALADA
2008;TE NECESITO;AMARAL & BETO CUEVAS;POP
4750;YO SE QUE ES MENTIRA;AMAURY GUTIERREZ;POP
6793;MIX ANTOLOGIA;AMAYA HERMANOS;CUMBIA
3696;TE PERTENEZCO;AMBRA;POP
6979;VUELA MARIPOSA;AMERICA POP;BALADA
4414;EL EMBRUJO;AMERICO;CUMBIA
4441;TE VAS;AMERICO;CUMBIA
4733;QUE LEVANTE LA MANO;AMERICO;CUMBIA
5047;TEN PENA POR TI;AMERICO;CUMBIA
5101;A LLORAR A OTRA PARTE;AMERICO;CUMBIA
5390;ENTRE EL AMOR Y EL ODIO;AMERICO;CUMBIA
5414;LAGRIMAS DE AMOR;AMERICO;CUMBIA
5421;ME OLVIDE DE TU AMOR;AMERICO;CUMBIA
5438;OTRA NOCHE SIN TI;AMERICO;CUMBIA
5477;TRAICIONERA;AMERICO;CUMBIA
5645;TENDRIA QUE LLORAR POR TI;AMERICO;CUMBIA
5953;ASI ES;AMERICO;CUMBIA
6516;ADIOS AMOR;AMERICO;CUMBIA
6742;LEJOS DE TI;AMERICO;CUMBIA
351;ME HACES TANTO BIEN;AMISTADES PELIGROSAS;POP
352;ME QUEDARE;AMISTADES PELIGROSAS;POP
5702;AFRICANOS EN MADRID;AMISTADES PELIGROSAS;BALADA
5703;ANGELUS;AMISTADES PELIGROSAS;POP
5718;ESTOY POR TI;AMISTADES PELIGROSAS;POP
5805;BACK TO BLACK;AMY WINEHOUSE;BLUES
5831;ME & MR JONES;AMY WINEHOUSE;BLUES
5840;REHAB;AMY WINEHOUSE;BLUES
5900;YOU KNOW I'M NO GOOD;AMY WINEHOUSE;BLUES
6762;LOVE IS A LOSING GAME;AMY WINEHOUSE;SOUL
3750;Y TE AMARE;ANA & JHONNY;BALADA
45;LA TRAMPA;ANA BARBARA;CUMBIA
2117;BANDIDO;ANA BARBARA;CUMBIA
2159;ME ASUSTA PERO ME GUSTA;ANA BARBARA;CUMBIA
4437;ROMPIENDO CADENAS;ANA BARBARA;CUMBIA
6308;LO BUSQUE;ANA BARBARA;BALADA
6313;LOS BESOS NO SE DAN EN LA CAMISA;ANA BARBARA;CUMBIA
4903;AHORA TENGO;ANA BARBARA & REYLI;POP
1591;EL HOMBRE DEL PIANO;ANA BELEN;BALADA
3629;NO SE POR QUE TE QUIERO;ANA BELEN & A. BANDERAS;BOLERO
4018;ERA EN ABRIL;ANA BELEN & VICTOR MANUEL;BALADA
1903;LA PUERTA DE ALCALA;ANA BELEN Y VICTOR MANUELLE;BALADA
1120;CASI EL HOMBRE PERFECTO;ANA CIRRE;BALADA
189;QUIEN COMO TU;ANA GABRIEL;BALADA
536;ES DEMASIADO TARDE;ANA GABRIEL;BALADA
558;SIMPLEMENTE AMIGOS;ANA GABRIEL;BALADA
579;NO ENTIENDO;ANA GABRIEL;RANCHERA
614;AY AMOR;ANA GABRIEL;BALADA
615;DESTINO;ANA GABRIEL;BALADA
630;MAR Y ARENA;ANA GABRIEL;BALADA
987;AHORA;ANA GABRIEL;RANCHERA
1118;EL CIGARRILLO;ANA GABRIEL;BALADA
1189;HECHIZO;ANA GABRIEL;RANCHERA
1190;MI TALISMAN;ANA GABRIEL;RANCHERA
1228;OBSESION;ANA GABRIEL;CUMBIA
1269;PECADO ORIGINAL;ANA GABRIEL;BALADA
1426;ESO NO BASTA;ANA GABRIEL;BALADA
1560;NI UN ROCE;ANA GABRIEL;BALADA
1612;LUNA;ANA GABRIEL;BALADA
2298;Y AQUI ESTOY;ANA GABRIEL;BALADA
2493;TODO POR AMOR;ANA GABRIEL;BALADA
2534;EVIDENCIAS;ANA GABRIEL;BALADA
2593;TU Y YO;ANA GABRIEL;BALADA
2866;ES EL AMOR QUIEN LLEGA;ANA GABRIEL;BALADA
3052;A PESAR DE TODO;ANA GABRIEL;BALADA
3113;EL GALLO DE ORO;ANA GABRIEL;CORRIDO
3316;CON UN MISMO CORAZON;ANA GABRIEL;RANCHERA
3416;ERES TODO EN MI;ANA GABRIEL;BALADA
3604;AMOR CON DESAMOR;ANA GABRIEL;BALADA
3743;SOLEDAD;ANA GABRIEL;BALADA
3835;PAZ EN ESTE AMOR;ANA GABRIEL;BALADA
3923;ME EQUIVOQUE CONTIGO;ANA GABRIEL;BALADA
4326;LEYES DEL CORAZON;ANA GABRIEL;BALADA
4496;TU LO DECIDISTE;ANA GABRIEL;RANCHERA
5532;NO A PEDIR PERDON;ANA GABRIEL;CUMBIA
6257;HABLAME DE FRENTE;ANA GABRIEL;BALADA
6518;ADIOS MI CHAPARRITA;ANA GABRIEL;BALADA
1202;COSAS DEL AMOR;ANA GABRIEL Y VICKY CARR;BALADA
1238;ME VOY A EMBORRACHAR;ANA LUCIA;VALLENATO
2735;MUJER CONTRA MUJER;ANA TORROJA;BALADA
1784;DUENDES;ANA TORROJA & MIGUEL BOSE;POP
4279;MI DELIRIO;ANAHI;BALADA
4403;ALERGICO;ANAHI;BALADA
4480;ME HIPNOTIZAS;ANAHI;POP
4538;QUIERO;ANAHI;POP
1282;VIVO POR ELLA;ANDREA BOCELLI;BALADA
3029;POR TI VOLARE;ANDREA BOCELLI;BALADA
3976;MIA SOLO MIA;ANDREA DEL BOCA;BALADA
27;FLACA;ANDRES CALAMARO;BALADA
2515;CARTAS SIN MARCAR;ANDRES CALAMARO;POP
2583;SIN DOCUMENTOS;ANDRES CALAMARO;ROCK LATINO
4280;MI ENFERMEDAD;ANDRES CALAMARO;BALADA
4348;TUYO SIEMPRE;ANDRES CALAMARO;CUMBIA
4360;CRIMENES PERFECTOS;ANDRES CALAMARO;BALADA
5251;5 MINUTOS MAS MINIBAR;ANDRES CALAMARO;BALADA
6312;LOCO;ANDRES CALAMARO;BALADA
6564;BAJO LA RAMBLA;ANDRES CALAMARO;BALADA
3034;SE MORIR;ANDRES CEPEDA;BALADA
3815;EL CARPINTERO;ANDRES CEPEDA;BALADA
3839;PIEL CANELA;ANDRES CEPEDA;BOLERO
4092;TENGO GANAS;ANDRES CEPEDA;BOLERO
4135;SI FUERAS MI ENEMIGO;ANDRES CEPEDA;BALADA
4655;BESOS USADOS;ANDRES CEPEDA;BALADA
4764;DIA TRAS DIA;ANDRES CEPEDA;BALADA
5074;ME VOY;ANDRES CEPEDA;BOLERO
6078;LO MEJOR QUE HAY EN MI VIDA;ANDRES CEPEDA;BALADA
850;MEMORY;ANDREW LLOYDL WEBBER;BALADA INGLES
1195;SON DE AMORES;ANDY & LUCAS;BALADA
1662;QUIERO SER TU SUE�O;ANDY & LUCAS;BALADA
1974;TANTO LA QUERIA;ANDY & LUCAS;POP
5102;AL RITMO DE LAS OLAS;ANDY & LUCAS;POP
3355;CASI TE ENVIDIO;ANDY MONTA�ES;SALSA
3840;PILLO BUENA GENTE;ANDY MONTA�EZ;SALSA
7036;MENTIRA;ANETTE MORENO;BALADA
453;QUERERTE A TI;ANGELA CARRASCO;BALADA
1532;SI TU ERES MI HOMBRE Y YO TU MUJER;ANGELA CARRASCO;BALADA
1728;ATRAPADA;ANGELA CARRASCO;BALADA
1745;NO LO CAMBIO POR NADA;ANGELA CARRASCO;BALADA
1771;LA ROSA;ANGELA CARRASCO;BALADA
1780;AHORA O NUNCA;ANGELA CARRASCO;BALADA
1785;EL TIEMPO NOS PESA;ANGELA CARRASCO;BALADA
1788;ESTAS EN MI CORAZON;ANGELA CARRASCO;BALADA
1871;ALGUIEN COMO TU;ANGELA CARRASCO;BALADA
6030;NO ME PUEDO QUEJAR;ANGELA CARRASCO;BALADA
922;QUIEN ES ESE HOMBRE;ANGELA M. (PASION DE GAVILANEZ);CUMBIA
3312;CARA Y SELLO;ANGELA MARIA FORERO;TEX MEX
3344;VETE;ANGELA MARIA FORERO;TEX MEX
4544;SOBRE FUEGO;ANGELA MARIA FORERO;BALADA
5571;ENTREGA DE AMOR;ANGELES AZULES;CUMBIA
1175;PENSANDO EN TI;ANGELES DEL INFIERNO;ROCK LATINO
5461;SI TU NO ESTAS AQUI;ANGELES DEL INFIERNO;ROCK
5605;AL OTRO LADO DEL SILENCIO;ANGELES DEL INFIERNO;ROCK
2057;NO TE OLVIDARE;ANGELES NEGROS;BALADA
1736;REINA Y CENICIENTA;ANGELICA MARIA;BALADA
4070;MI AMOR PROHIBIDO;ANGELICA MARIA;BALADA
5808;CHARIOT;ANGELICA MARIA;BOLERO
6174;CON UN BESO PEQUE�ISIMO;ANGELICA MARIA;BALADA
6217;EL HOMBRE DE MI VIDA;ANGELICA MARIA;BALADA
3853;AY GAVIOTA;ANGELICA RIVERO;RANCHERA
6171;COMO TU NO HAY NADIE;ANGGIE & STRATEGA;REGGAETON
6292;LA OPORTUNIDAD;ANGGIE & STRATEGA;REGGAETON
6679;ESE VENENO;ANGGIE & STRATEGA;REGGAETON
6931;TE ENCONTRE;ANGGIE & STRATEGA;REGGAETON
3795;WHEN YOU LOVE SOMEONE;ANITA BAKER & JAMES INGRAM;BALADA INGLES
4609;EL MENTIROSO;ANITA LUCIA PROA�O;ALBAZO
6591;CHUI CHUI;ANITA LUCIA PROA�O;NACIONAL
6674;ENTRE LAS FLORES;ANITA LUCIA PROA�O;PASILLO
6675;ENTREGA FINAL;ANITA LUCIA PROA�O;PASILLO
6739;LAGRIMAS DE AMOR;ANITA LUCIA PROA�O;PASILLO
6752;LLORAR LLORAR;ANITA LUCIA PROA�O;PASILLO
7223;ENTRE LAS FLORES;ANITA LUCIA PROA�O;PASILLO
7224;LAGRIMAS DE AMOR;ANITA LUCIA PROA�O;PASILLO
7265;CHUI  CHUI;ANITA LUCIA PROA�O;NACIONAL
6765;MADRE SOLTERA;ANITA SANTIBA�EZ;GUAYNO
6980;VUELVO A SER FELIZ;ANITA SOTALIN;TECNOCUMBIA
2650;UN ANGEL LLORA;ANNETE MORENO;BALADA
7028;GUARDIAN DE MI CORAZON;ANNETE MORENO;BALADA
7048;UN ANGEL LLORA;ANNETE MORENO;BALADA
7068;EL AMOR QUE ME DAS;ANNETE MORENO;BALADA
7093;LLEGO EL AMOR;ANNETE MORENO;BALADA
7105;NO LE DIGAS;ANNETE MORENO;BALADA
7116;SI NO ESTAS;ANNETE MORENO;BALADA
2724;GUARDIAN DE MI CORAZON;ANNETTE MORENO;BALADA
2730;LLEGO EL AMOR;ANNETTE MORENO;BALADA
2780;NO LE DIGAS;ANNETTE MORENO;BALADA
6126;ANGEL GUARDIAN;ANNETTE MORENO;BALADA
6339;MENTIRA;ANNETTE MORENO;CUMBIA
6539;AMOR AMOR AMOR;ANNETTE MORENO;CRISTIANA
6566;BARCO DE PAPEL;ANNETTE MORENO;CRISTIANA
6642;EL AMOR QUE ME DAS;ANNETTE MORENO;CRISTIANA
6894;SI NO ESTAS;ANNETTE MORENO;CRISTIANA
7156;AMOR AMOR AMOR;ANNETTE MORENO;BALADA  GOSPEL
7158;ANGEL GUARDIAN;ANNETTE MORENO;BALADA  GOSPEL
7161;BARCO DE PAPEL;ANNETTE MORENO;BALADA  GOSPEL
6191;DEMENTE;ANNETTE MORENO & TERCER CIELO;BALADA
7167;DEMENTE;ANNETTE MORENO & TERCER CIELO;BALADA  GOSPEL
7301;BURRITO SABANERO;ANONIMO;VILLANCICO
7302;NOCHE DE PAZ;ANONIMO;VILLANCICO
7303;YA VIENE EL NI�ITO;ANONIMO;VILLANCICO
7304;RODOLFO EL RENO;ANONIMO;VILLANCICO
7305;DULCE JESUS MIO;ANONIMO;VILLANCICO
5837;PARTY ROCK;ANTHEM & LAUREN BENNETT;ELECTRONICA
1592;NOSTALGIA;ANTOLOGIA;HUAYNO
6052;ALEJATE;ANTOLOGIA;FOLCLORICA
1080;YO SOY EL AVENTURERO;ANTONIO AGUILAR;RANCHERA
2199;YA SUPE LUPE;ANTONIO AGUILAR;RANCHERA
2359;ME IMPORTA POCO;ANTONIO AGUILAR;RANCHERA
2495;TRISTES RECUERDOS;ANTONIO AGUILAR;RANCHERA
2505;AY CHABELA;ANTONIO AGUILAR;RANCHERA
2756;COPITAS DE MEZCAL;ANTONIO AGUILAR;CORRIDO
3816;EL HIJO DESOBEDIENTE;ANTONIO AGUILAR;RANCHERA
5908;EL BUQUE DE MAS POTENCIA;ANTONIO AGUILAR;RANCHERA
5927;MIL PU�ALADAS;ANTONIO AGUILAR;RANCHERA
5966;ECHALE CINCO AL PIANO;ANTONIO AGUILAR;RANCHERA
5987;SENTIMIENTO DE DOLOR;ANTONIO AGUILAR;RANCHERA
3559;EL DICHARACHERO;ANTONIO AGULILAR;RANCHERA
481;CANCION DEL MARIACHI;ANTONIO BANDERAS;RANCHERA
5037;NI SIQUIERA;ANTONIO CARTAGENA;SALSA
5130;NADIE QUIEN TE QUIERA;ANTONIO CARTAGENA;SALSA
5331;SIN TI;ANTONIO CARTAGENA;SALSA
3792;TE QUIERO MAS Y MAS;ANTONIO DE JESUS;BALADA
4663;DILE A EL;ANTONIO DE JESUS;BALADA
4671;ESTOY ENAMORADO;ANTONIO DE JESUS;BALADA
5849;UNA ESPINA;ANTONIO FLORES;BALADA
5614;DEVUELVEME LA VIDA;ANTONIO OROZCO;BALADA
4822;LA NOVIA;ANTONIO PRIETO;BOLERO
2642;NUNCA ME FALTES;ANTONIO RIOS;CUMBIA
3991;RATON Y QUESO;ANTONIO URBINA;CORRIDO
6747;LIBRE Y SOLTERITA;ANYHELA;CUMBIA
849;BARBIE GIRL;AQUA;DISCO
2956;APARENTEMENTE;ARCANGEL;REGGAETON
3058;BONITA;ARCANGEL;REGGAETON
3938;PA QUE LA PASES BIEN;ARCANGEL;REGGAETON
6163;CHICA VIRTUAL;ARCANGEL;POP
5722;GUAYA;ARCANGEL & DADDY YANKEE;REGGAETON
6987;WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH;ARCTIC MONKEYS;POP
4263;CORAZON CULPABLE;ARMANDO HERNANDEZ;CUMBIA
4524;LOQUITO POR TI;ARMANDO HERNANDEZ;CUMBIA
193;SABOR A MI;ARMANDO MANZANERO;RANCHERA
1647;ESTA TARDE VI LLOVER;ARMANDO MANZANERO;BOLERO
1766;VOY A APAGAR LA LUZ;ARMANDO MANZANERO;BOLERO
1858;CONTIGO EN LA DISTANCIA;ARMANDO MANZANERO;BOLERO
2022;SI ME FALTAS TU;ARMANDO MANZANERO;BOLERO
2472;PARECE QUE FUE AYER;ARMANDO MANZANERO;BOLERO
2911;CONTIGO APRENDI;ARMANDO MANZANERO;BOLERO
4853;ADORO;ARMANDO MANZANERO;BALADA
6351;NADA PERSONAL;ARMANDO MANZANERO & LISSET;BALADA
609;RIO DE AMOR;ARMOND HUMBOOT;BALADA
6994;YA TE OLVIDE;ARMONIA 10;CUMBIA
7266;YA TE OLVIDE;ARMONIA 10;CUMBIA
2569;QUERIDO LADRON;AROMA;CUMBIA
6322;MAS ADELANTE;ARROLLADORA BANDA LIMON;CORRIDO
1919;EL ALBUM;ATERCIOPELADOS;POP
2804;BARACUNATANA;ATERCIOPELADOS;POP
2806;BOLERO FALAZ;ATERCIOPELADOS;POP
2820;LA ESTACA;ATERCIOPELADOS;POP
659;LLUVIA;ATRATO RIVER;SALSA
4968;COMO TE EXTRA�O;ATRATO RIVER;SALSA
276;TRES NOTAS;AU-D;RAP
1245;SOLO TU AMOR ME CONQ..;AU-D;RAP
1249;ME ENSE�ASTE;AU-D;RAP
3706;COMO AIRE AL RESPIRAR;AU-D;BALADA
6120;AMNESIA;AU-D;MERENGUE
6389;PRIMERO TE PIENSO;AU-D;BALADA
4066;LA VIDA ES ASI;AUREO BAQUEIRO;BALADA
5495;WHAT ABOUT LOVE;AUSTIN MAHONE;POP
6458;TU CONDENA;AUTENTICA BANDA JEREZ;CORRIDO
1552;SON AMORES;AUTENTICOS DECADENTES;POP
5483;TU FORMA DE SER;AUTENTICOS DECADENTES;BALADA
6450;TESTIFY TO LOVE;AVALON;BALADA
7197;TESTIFY TO LOVE;AVALON;BALADA  GOSPEL
796;OBSECION;AVENTURA;BACHATA
1186;CUANDO VOLVERAS;AVENTURA;BACHATA
2036;AMOR DE MADRE;AVENTURA;BACHATA
2293;UN BESO;AVENTURA;BACHATA
2386;ROMEO Y JULIETA;AVENTURA;BACHATA
2868;HERMANITA;AVENTURA;BACHATA
2881;NO LO PERDONA DIOS;AVENTURA;BACHATA
2930;MI CORAZONCITO;AVENTURA;BACHATA
2976;LOS INFIELES;AVENTURA;BACHATA
3080;NUEVE Y QUINCE;AVENTURA;BACHATA
3153;AMOR DE MADRE 2;AVENTURA;BACHATA
3163;EL PERDEDOR;AVENTURA;BACHATA
3172;LA PELICULA;AVENTURA;BACHATA
3227;ME VOY;AVENTURA;BACHATA
3228;MI NI�A CAMBIO;AVENTURA;BACHATA
3415;ENSE�AME A OLVIDAR;AVENTURA;BACHATA
3449;Y TU LLORASTE;AVENTURA;BALADA
3511;CARCEL DE AMOR;AVENTURA;BACHATA
3522;LAGRIMAS;AVENTURA;BACHATA
3540;SOY UN POBRE DIABLO;AVENTURA;BACHATA
3541;SUSPIROS DE AMOR;AVENTURA;BACHATA
3579;POR UN SEGUNDO;AVENTURA;BACHATA
3606;ANGELITO;AVENTURA;BACHATA
3623;LA BODA;AVENTURA;BACHATA
3726;LA NOVELITA;AVENTURA;BACHATA
3741;SI ME DEJAS MUERO;AVENTURA;BACHATA
3896;TE INVITO;AVENTURA;BACHATA
3956;DILE AL AMOR;AVENTURA;BACHATA
3996;SU VENENO;AVENTURA;BACHATA
4362;EL DESPRECIO;AVENTURA;BACHATA
4363;EL MALO;AVENTURA;BACHATA
4424;LA TORMENTA;AVENTURA;BACHATA
4450;YO QUISIERA AMARLA;AVENTURA;BACHATA
4488;PRINCESITA;AVENTURA;BACHATA
4546;TU JUEGUITO;AVENTURA;BACHATA
4615;JOSE;AVENTURA;BACHATA
4641;SU VIDA;AVENTURA;BACHATA
3954;CIEGO DE AMOR;AVENTURA & ANTONY SANTOS;BACHATA
2043;ELLA Y YO;AVENTURA & DON OMAR;REGGAETON
5163;COMPLICATED;AVRIL LAVIGNE;POP
6760;LOSING GRIP;AVRIL LAVIGNE;ROCK
1601;AMO;AXEL;BALADA
4459;CELEBRA LA VIDA;AXEL;POP
4743;TE VOY A AMAR;AXEL;BALADA
5340;TODO VUELVE;AXEL;BALADA
5345;VERTE REIR;AXEL;BALADA
2419;BESOS EN LA BOCA;AXEL BAHIA;TECHNO
2302;A MI MEDIDA;AXEL FERNANDO;BALADA
2567;QUE ESTAS BUSCANDO;AXEL FERNANDO;BALADA
2824;ME PUEDES DE PUNTA A PUNTA;AXEL FERNANDO;BALADA
2845;TU AMOR POR SIEMPRE;AXEL FERNANDO;BALADA
3368;ESO;AXEL FERNANDO;BALADA
5797;TE EQUIVOCAS;AXEL FERNANDO;BALADA
356;SOLO SE VIVE UNA VEZ;AZUCAR MORENO;FLAMENCO
6057;BANDIDO;AZUCAR MORENO;FLAMENCO
6092;PUNTO DE PARTIDA;AZUCAR MORENO;FLAMENCO
6232;EL;AZUCAR MORENO;BALADA
619;BORRACHITO;AZUCENA AYMARA;CUMBIA
847;A LOS BOSQUES;AZUCENA AYMARA;SAN JUANITO
876;EL DIA DE MI MUERTE;AZUCENA AYMARA;SAN JUANITO
1074;SOLO POR TU AMOR;AZUCENA AYMARA;ALBAZO
1075;LEJOS DE TI MI VIDA;AZUCENA AYMARA;SAN JUANITO
1076;POR QUE TE VAS;AZUCENA AYMARA;SAN JUANITO
2134;EL AGUAJAL;AZUCENA AYMARA;NACIONAL
6520;AHORA SOY FELIZ;AZUCENA AYMARA;NACIONAL
6571;CABANDO HONDO;AZUCENA AYMARA;PASEITO
6583;CARI�ITO;AZUCENA AYMARA;CUMBIA
6587;CEMENTERIO, DEVUELVEME A MI HIJA;AZUCENA AYMARA;ROCKOLA
6614;CUITAS DE AMOR;AZUCENA AYMARA;CUMBIA
6672;ENAMORADA ESTOY;AZUCENA AYMARA;CUMBIA
6774;MARIPOSITA;AZUCENA AYMARA;TECNOCUMBIA
6799;MOSAICO, LA BOCINA, COLLAR , PALOMA;AZUCENA AYMARA;PASACALLE
6801;MOSAICO, NEGRITO, CARMEN;AZUCENA AYMARA;CUMBIA
6802;MOSAICO, ROCKOLA;AZUCENA AYMARA;ROCKOLA
6821;NO PUEDO VIVIR SIN TI;AZUCENA AYMARA;CUMBIA
6826;NO VUELVO AMAR;AZUCENA AYMARA;CUMBIA
6856;POR INTERNET;AZUCENA AYMARA;CUMBIA
6909;SOLO UN MINUTO;AZUCENA AYMARA;CUMBIA
7241;CUITAS DE AMOR;AZUCENA AYMARA;CUMBIA
5410;LA BOMBA;AZUL AZUL;REGGAETON
5350;Y QUE;BABASONICOS;ROCK
7316;AMOR PROHIBIDO;BABY RAST Y GRINGO;REGUETON
6780;ME NIEGAS;BABY RASTA;REGGAETON
7285;ME NIEGAS;BABY RASTA;REGGAETON
732;TABACO Y CHANEL;BACILOS;SALSA
754;CARA LUNA;BACILOS;POP
783;MI PRIMER MILLON;BACILOS;RUMBA
2473;PASOS DE GIGANTE;BACILOS;POP
1031;AS LONG AS YOU LOVE ME;BACK STREET BOYS;BALADA INGLES
1638;SHOW THE MEANING;BACK STREET BOYS;POP
1699;EVERYBODY;BACK STREET BOYS;DISCO
4134;QUIT PLAYING GAMES WITH MY HEART;BACKSTREET BOYS;POP
6984;WHEN I SEE YOU SMILE;BAD ENGLISH;BALADA ROCK
7328;BAILA CONMIGO;BAILA CONMIGO;REGUETON
1545;NADA DE AMOR;BAJOS SUE�OS;ROCK LATINO
3790;SOPA DE CARACOL;BANDA BLANCA;MERENGUE
4880;ME GUSTA TODO DE TI;BANDA EL RECODO;BANDA
4941;TE PRESUMO;BANDA EL RECODO;BANDA
4943;TE QUIERO A MORIR;BANDA EL RECODO;BANDA
6105;ACABAME DE MATAR;BANDA EL RECODO;CORRIDO
6447;TE OFREZCO UN CORAZON;BANDA EL RECODO;CORRIDO
6283;LA ESCUELITA;BANDA LOS RECODITOS;CORRIDO
5855;AL GATO Y AL RATON;BANDA MACHOS;CORRIDO
5882;GUERITA;BANDA MACHOS;CORRIDO
5883;LA CULEBRA;BANDA MACHOS;CORRIDO
5945;UN INDIO QUIERE LLORAR;BANDA MACHOS;CORRIDO
6347;MI RAZON DE SER;BANDA MS;CORRIDO
91;ETERNAL FLAME;BANGLES;BALADA INGLES
2902;ADIOS SE VA;BARBARA & DICK;BALADA
3102;AHORA QUE TE AMO TANTO;BARBARA & DICK;BALADA
3133;RESPIRANDO;BARBARA & DICK;BALADA
3752;AMAME ME GUSTA AMANECER EN TI;BARBARA & DICK;BALADA
570;WOMAN IN LOVE;BARBARA STREISSAND;BALADA INGLES
5878;EVERGREEN;BARBRA STREISAND;BALADA INGLES
4642;TE AMARE;BARRIO BOYZZ;BALADA
5286;ERES ASI;BARRIO BOYZZ;BALADA
4051;AL FIN TE PUDE ENCONTRAR;BARRO;BALADA
4081;PENSAR EN TI;BARRO;BALADA
6580;CAN'T SMILE WITHOUT YOU;BARRY MANILOW;SOFT ROCK
4923;I CAN'T TAKE MY EYES OFF YOU;BARRY WHITE;BALADA INGLES
2711;CISNE CUELLO NEGRO CISNE CUELLO BLANCO;BASILIO;BALADA
3356;COMO TU;BASILIO;BALADA
3388;TANTO AMOR;BASILIO;BALADA
3393;TU NI TE IMAGINAS;BASILIO;BALADA
4087;SI TE HUBIERA CONOCIDO AYER;BASILIO;BALADA
1058;MALDITO CORAZON;BATAHOLA;CUMBIA
2314;CORAZON;BATAHOLA;CUMBIA
6657;EL LOCUTORIO;BAYRON CAICEDO;NACIONAL
632;AMORCITO;BAYRONN CAICEDO;SAN JUANITO
2727;KOKOMO;BEACH BOYS;BALADA INGLES
6219;EL MACHO PANZON;BEATRIZ ADRIANA;RANCHERA
6745;LEY DE NEWTON;BEATRIZ LUENGO & JESUS NAVARRO;BALADA
2550;MALO MALO;BEBE;POP
7378;MAYORES;BECKY G   FT. BAD BUNNY;REGUETON
7346;ARREPENTIDA;BEDER EL MUSICOLOGO;SALSA
136;MASACHUSET;BEE GEES;BALADA INGLES
420;STAYING ALIVE;BEE GEES;ROCK
3015;ERES TU;BELANOVA;BALADA
3409;CADA QUE;BELANOVA;POP
3436;ROSA PASTEL;BELANOVA;POP
4127;ONE TWO THREE GO;BELANOVA;POP
4375;NADA MAS;BELANOVA;POP
5534;NO ME VOY A MORIR;BELANOVA;BALADA
5656;BAILA MI CORAZON;BELANOVA;POP
5676;HASTA EL FINAL;BELANOVA;RANCHERA
5698;TOMA MI MANO;BELANOVA;BALADA
5747;TUS OJOS;BELANOVA;POP
1201;ANGEL;BELINDA;BALADA
1656;NO ENTIENDO;BELINDA;BALADA
2849;VIVIR;BELINDA;ROCK
3186;PRINCESA;BELINDA;POP
3252;BELLA TRAICION;BELINDA;POP
3423;LUZ SIN GRAVEDAD;BELINDA;POP
3889;SAL DE MI PIEL;BELINDA;BALADA
4573;LO SIENTO;BELINDA;POP
5307;NADA;BELINDA;BALADA
6013;EN EL AMOR HAY QUE PERDONAR;BELINDA;POP
6427;SI NO TE QUISIERA;BELINDA & JUAN MAGAN;POP
3106;BABY TE QUIERO;BELINDA & NIGGA FEAT;REGGAETON
4316;EGOISTA;BELINDA & PITBULL;REGGAETON
7300;SI NO TE QUISIERA;BELINDA Y JUAN MAGAN;BALADA
1954;MURIENDO LENTO;BELINDA Y MODERATO;POP
2630;LA NARANJA;BENITEZ & VALENCIA;SAN JUANITO
4501;ALEJANDOSE;BENITEZ & VALENCIA;PASILLO
24;EL AGUACATE;BENITEZ Y VALENCIA;PASILLO
143;AMARGURAS;BENITEZ Y VALENCIA;ALBAZO
778;TATUAJE;BENITEZ Y VALENCIA;PASILLO
993;ANGEL DE LUZ;BENITEZ Y VALENCIA;PASILLO
1926;ENAMORADO DE TI;BENITEZ Y VALENCIA;PASILLO
3610;BRUMAS;BENITEZ Y VALENCIA;PASILLO
3632;OJERAS;BENITEZ Y VALENCIA;PASILLO
1605;CIELO;BENNY IBARRA;BALADA
